@relation test
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric
@data
9.0,6.0,0.0,9.0,34.0,28.0,0.0,9.0,6.0,0.8125,166.0,1.0,0.0,0.950617284,0.4,4.0,9.0,17.22222222,2.0,1.0,1
8.0,4.0,0.0,7.0,37.0,4.0,0.0,7.0,7.0,0.7142857140000001,277.0,1.0,0.0,0.9176470590000001,0.46875,4.0,4.0,32.875,5.0,1.375,-1
4.0,3.0,0.0,8.0,39.0,0.0,0.0,8.0,4.0,0.333333333,200.0,1.0,0.0,0.925,0.5,1.0,1.0,48.5,1.0,0.75,-1
15.0,3.0,0.0,16.0,77.0,69.0,0.0,16.0,10.0,0.826530612,504.0,1.0,0.0,0.725490196,0.233333333,1.0,1.0,32.13333333,6.0,1.4,-1
15.0,3.0,0.0,3.0,37.0,41.0,1.0,2.0,14.0,0.6964285709999999,437.0,0.75,1.0,0.454545455,0.311111111,1.0,2.0,27.33333333,1.0,0.8,-1
1.0,1.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
18.0,3.0,0.0,10.0,56.0,119.0,0.0,10.0,15.0,0.882352941,460.0,1.0,0.0,0.685185185,0.37777777799999995,0.0,0.0,23.83333333,13.0,2.0,-1
2.0,3.0,0.0,3.0,7.0,1.0,1.0,3.0,2.0,2.0,23.0,0.0,0.0,0.96969697,1.0,0.0,0.0,10.5,1.0,0.5,-1
4.0,1.0,0.0,5.0,4.0,6.0,4.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,-1
16.0,4.0,2.0,19.0,56.0,48.0,2.0,17.0,10.0,0.745454545,757.0,1.0,4.0,0.836956522,0.19375,3.0,7.0,45.625,14.0,2.5,-1
7.0,3.0,0.0,7.0,21.0,0.0,0.0,7.0,7.0,0.625,144.0,1.0,0.0,0.860465116,0.342857143,1.0,1.0,19.0,5.0,1.4286,-1
5.0,1.0,0.0,11.0,5.0,10.0,11.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.533333333,0.0,0.0,0.0,1.0,1.0,-1
3.0,3.0,0.0,6.0,21.0,0.0,1.0,6.0,3.0,0.0,146.0,1.0,0.0,0.9487179490000001,0.666666667,0.0,0.0,47.33333333,1.0,0.6667,-1
1.0,1.0,0.0,9.0,1.0,0.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
7.0,5.0,0.0,5.0,17.0,0.0,1.0,4.0,5.0,0.7777777779999999,107.0,1.0,0.0,0.848484848,0.47619047600000003,2.0,5.0,13.85714286,5.0,1.2857,-1
3.0,1.0,1.0,7.0,9.0,0.0,5.0,2.0,3.0,0.0,47.0,1.0,0.0,0.0,0.666666667,0.0,0.0,14.33333333,1.0,0.6667,-1
6.0,4.0,0.0,10.0,33.0,0.0,0.0,10.0,6.0,0.6,511.0,1.0,0.0,0.939759036,0.5555555560000001,1.0,1.0,83.5,1.0,0.8333,-1
10.0,4.0,0.0,16.0,36.0,3.0,4.0,12.0,10.0,0.583333333,246.0,1.0,2.0,0.795454545,0.26666666699999997,1.0,3.0,23.2,7.0,2.3,-1
