@relation test
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric
@data
9.0,0.0,0.0,5.0,24.0,0.0,1.0,4.0,9.0,0.0,213.0,1.0,1.0,0.0,0.37037037,0.0,0.0,22.55555556,1.0,0.8889,-1
27.0,1.0,0.0,6.0,27.0,351.0,1.0,5.0,27.0,2.0,27.0,0.0,0.0,0.0,0.41203703700000005,0.0,0.0,0.0,1.0,1.0,1
9.0,1.0,0.0,3.0,18.0,30.0,1.0,2.0,8.0,0.375,82.0,1.0,0.0,0.0,0.355555556,0.0,0.0,8.0,1.0,0.7778,-1
7.0,1.0,0.0,27.0,50.0,7.0,3.0,27.0,3.0,0.805555556,198.0,1.0,3.0,0.0,0.41666666700000005,0.0,0.0,26.42857143,1.0,0.7143,-1
8.0,2.0,0.0,10.0,28.0,0.0,1.0,9.0,3.0,0.35714285700000004,224.0,1.0,3.0,0.684210526,0.37142857100000004,1.0,1.0,26.5,2.0,1.0,1
4.0,1.0,0.0,9.0,12.0,2.0,3.0,7.0,3.0,0.666666667,52.0,1.0,3.0,0.0,0.4,0.0,0.0,11.25,1.0,0.75,-1
4.0,0.0,0.0,10.0,17.0,2.0,1.0,9.0,3.0,0.666666667,71.0,1.0,2.0,0.0,0.833333333,0.0,0.0,16.0,1.0,0.5,-1
2.0,1.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,22.0,0.0,0.0,0.0,0.5,0.0,0.0,7.0,3.0,1.5,1
18.0,1.0,0.0,116.0,18.0,153.0,116.0,0.0,18.0,2.0,18.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,1.0,-1
9.0,1.0,0.0,3.0,20.0,12.0,2.0,1.0,7.0,0.625,100.0,1.0,0.0,0.0,0.541666667,0.0,0.0,9.777777777999999,4.0,1.2222,-1
7.0,2.0,0.0,3.0,17.0,0.0,3.0,1.0,7.0,0.611111111,66.0,1.0,0.0,0.333333333,0.39285714299999996,0.0,0.0,8.0,2.0,1.0,-1
7.0,2.0,0.0,11.0,11.0,15.0,4.0,10.0,6.0,0.5,44.0,1.0,0.0,0.772727273,0.265306122,0.0,0.0,5.1428571430000005,1.0,0.7143,1
13.0,2.0,0.0,12.0,37.0,42.0,4.0,9.0,13.0,0.611111111,175.0,1.0,1.0,0.8857142859999999,0.276923077,1.0,4.0,12.23076923,3.0,1.1538,1
6.0,4.0,0.0,9.0,31.0,5.0,1.0,9.0,3.0,0.5,143.0,0.5,1.0,0.8,0.305555556,1.0,1.0,22.5,1.0,0.8333,-1
20.0,2.0,1.0,16.0,74.0,68.0,2.0,15.0,11.0,0.8646616540000001,537.0,0.7142857140000001,3.0,0.419354839,0.173684211,1.0,1.0,25.15,12.0,1.55,1
2.0,4.0,6.0,8.0,7.0,0.0,6.0,2.0,2.0,1.0,23.0,1.0,1.0,0.944444444,0.666666667,0.0,0.0,9.5,1.0,0.5,1
6.0,3.0,0.0,8.0,15.0,15.0,2.0,6.0,6.0,2.0,42.0,0.0,0.0,0.9714285709999999,0.41666666700000005,2.0,3.0,6.0,1.0,0.5,1
14.0,2.0,0.0,4.0,25.0,31.0,1.0,4.0,14.0,0.634615385,140.0,1.0,0.0,0.8857142859999999,0.3,1.0,4.0,8.714285713999999,1.0,0.8571,1
2.0,5.0,0.0,2.0,6.0,0.0,1.0,1.0,2.0,1.0,22.0,1.0,0.0,0.944444444,0.666666667,0.0,0.0,9.0,1.0,0.5,-1
7.0,2.0,0.0,7.0,25.0,0.0,1.0,6.0,5.0,0.166666667,153.0,1.0,1.0,0.684210526,0.35714285700000004,1.0,1.0,20.57142857,4.0,1.2857,1
3.0,2.0,0.0,4.0,10.0,3.0,1.0,3.0,2.0,2.0,32.0,0.0,0.0,0.6,0.666666667,0.0,0.0,9.666666667000001,1.0,0.6667,1
19.0,2.0,0.0,22.0,32.0,133.0,7.0,19.0,18.0,0.644444444,174.0,1.0,2.0,0.485714286,0.15789473699999998,1.0,1.0,7.894736842,2.0,1.0,-1
20.0,1.0,0.0,2.0,21.0,190.0,1.0,1.0,20.0,2.0,50.0,0.0,0.0,0.0,0.4875,0.0,0.0,1.5,1.0,0.9,-1
8.0,1.0,0.0,7.0,32.0,28.0,0.0,7.0,4.0,2.0,237.0,0.0,0.0,0.0,0.625,0.0,0.0,28.625,11.0,3.0,1
5.0,1.0,3.0,4.0,6.0,6.0,3.0,1.0,3.0,0.75,24.0,1.0,0.0,0.0,1.0,0.0,0.0,3.4,1.0,0.8,-1
6.0,2.0,0.0,5.0,16.0,7.0,1.0,5.0,2.0,0.7,59.0,1.0,0.0,0.6,0.36,1.0,1.0,8.5,2.0,0.8333,-1
3.0,2.0,0.0,1.0,5.0,3.0,0.0,1.0,3.0,2.0,12.0,0.0,0.0,0.923076923,0.666666667,1.0,2.0,3.0,1.0,0.3333,-1
19.0,1.0,15.0,32.0,38.0,139.0,21.0,11.0,16.0,0.8222222220000001,216.0,1.0,3.0,0.0,0.175438596,1.0,1.0,10.10526316,5.0,1.4737,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
19.0,1.0,1.0,7.0,35.0,137.0,1.0,6.0,16.0,0.857142857,183.0,1.0,1.0,0.0,0.15789473699999998,0.0,0.0,8.263157895,2.0,1.0,-1
6.0,1.0,0.0,6.0,7.0,15.0,1.0,5.0,6.0,2.0,14.0,0.0,0.0,0.0,0.36111111100000004,0.0,0.0,1.333333333,1.0,0.8333,1
3.0,1.0,0.0,4.0,6.0,0.0,2.0,2.0,2.0,0.5,33.0,1.0,1.0,0.0,0.666666667,0.0,0.0,9.0,2.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
2.0,1.0,0.0,3.0,5.0,1.0,3.0,2.0,2.0,2.0,17.0,0.0,0.0,0.0,0.666666667,0.0,0.0,7.5,2.0,1.0,-1
14.0,1.0,0.0,6.0,18.0,61.0,2.0,5.0,14.0,0.8307692309999999,81.0,1.0,5.0,0.0,0.297619048,0.0,0.0,4.428571429,1.0,0.9286,-1
20.0,1.0,2.0,101.0,54.0,168.0,98.0,5.0,12.0,0.954887218,352.0,0.28571428600000004,0.0,0.0,0.219298246,0.0,0.0,16.25,3.0,1.15,-1
18.0,1.0,0.0,9.0,44.0,85.0,1.0,8.0,10.0,0.739495798,242.0,1.0,3.0,0.0,0.20588235300000002,0.0,0.0,12.05555556,5.0,1.3889,1
4.0,4.0,15.0,49.0,8.0,6.0,49.0,0.0,4.0,1.333333333,21.0,1.0,0.0,1.0,0.666666667,0.0,0.0,4.0,0.0,0.0,1
6.0,1.0,0.0,4.0,10.0,1.0,2.0,2.0,6.0,0.6,50.0,1.0,1.0,0.0,0.5,0.0,0.0,7.0,2.0,1.1667,-1
2.0,1.0,0.0,2.0,19.0,1.0,1.0,1.0,2.0,2.0,121.0,0.0,0.0,0.0,0.666666667,0.0,0.0,59.5,13.0,6.5,1
9.0,2.0,0.0,4.0,16.0,0.0,3.0,1.0,9.0,0.5625,122.0,1.0,0.0,0.272727273,0.5555555560000001,0.0,0.0,12.11111111,4.0,1.2222,-1
9.0,2.0,0.0,11.0,14.0,26.0,3.0,11.0,6.0,0.833333333,57.0,0.666666667,1.0,0.708333333,0.229166667,0.0,0.0,5.0,1.0,0.7778,1
5.0,1.0,0.0,6.0,10.0,2.0,0.0,6.0,4.0,0.5,44.0,1.0,1.0,0.0,0.583333333,0.0,0.0,7.4,2.0,0.8,-1
3.0,2.0,0.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,10.0,0.0,0.0,0.5,0.666666667,0.0,0.0,2.333333333,1.0,0.6667,1
3.0,1.0,0.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.833333333,0.0,0.0,0.0,1.0,1.0,-1
11.0,3.0,0.0,6.0,22.0,41.0,0.0,6.0,11.0,0.833333333,99.0,1.0,2.0,0.333333333,0.393939394,1.0,1.0,7.727272727000001,5.0,1.2727,-1
10.0,4.0,0.0,4.0,19.0,7.0,1.0,3.0,9.0,0.666666667,120.0,1.0,0.0,0.7894736840000001,0.425,1.0,2.0,10.6,1.0,0.8,-1
3.0,2.0,0.0,1.0,5.0,3.0,0.0,1.0,3.0,2.0,12.0,0.0,0.0,0.923076923,0.666666667,1.0,2.0,3.0,1.0,0.3333,-1
6.0,4.0,0.0,6.0,17.0,0.0,1.0,5.0,4.0,0.4,85.0,1.0,1.0,0.857142857,0.4,1.0,2.0,12.83333333,1.0,0.8333,-1
12.0,2.0,0.0,7.0,16.0,46.0,0.0,7.0,11.0,0.795454545,83.0,1.0,2.0,0.153846154,0.26666666699999997,0.0,0.0,5.583333333,2.0,1.0,-1
9.0,2.0,0.0,40.0,23.0,32.0,39.0,2.0,7.0,0.975,240.0,0.2,9.0,0.6315789470000001,0.375,1.0,1.0,24.55555556,4.0,1.8889,1
1.0,0.0,0.0,5.0,4.0,0.0,3.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,-1
22.0,1.0,0.0,2.0,42.0,189.0,1.0,1.0,22.0,0.8412698409999999,182.0,1.0,0.0,0.0,0.171717172,0.0,0.0,7.0,7.0,1.2273,1
4.0,1.0,2.0,4.0,8.0,0.0,2.0,2.0,4.0,0.0,28.0,1.0,0.0,0.0,0.75,0.0,0.0,5.75,1.0,0.75,1
1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,-1
22.0,3.0,0.0,20.0,65.0,151.0,5.0,18.0,15.0,0.846560847,401.0,0.7777777779999999,6.0,0.457142857,0.15584415599999998,1.0,1.0,16.81818182,10.0,1.5455,1
3.0,1.0,0.0,2.0,15.0,3.0,1.0,1.0,0.0,2.0,63.0,0.0,0.0,0.0,0.5,0.0,0.0,20.0,1.0,0.6667,-1
7.0,2.0,0.0,6.0,17.0,9.0,1.0,5.0,4.0,0.75,75.0,1.0,3.0,0.923076923,0.333333333,0.0,0.0,9.142857142999999,2.0,0.8571,1
7.0,3.0,0.0,7.0,13.0,0.0,3.0,4.0,5.0,0.166666667,41.0,1.0,1.0,0.807692308,0.47619047600000003,1.0,1.0,4.714285714,1.0,0.7143,-1
5.0,1.0,0.0,5.0,5.0,10.0,3.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.0,1.0,1
2.0,5.0,0.0,2.0,7.0,0.0,1.0,1.0,2.0,0.0,25.0,1.0,0.0,0.944444444,0.666666667,0.0,0.0,11.0,1.0,0.5,-1
37.0,3.0,0.0,21.0,61.0,598.0,8.0,19.0,34.0,0.932539683,335.0,1.0,2.0,0.375,0.143939394,1.0,1.0,7.675675676,6.0,1.2162,1
3.0,1.0,0.0,4.0,5.0,3.0,0.0,4.0,3.0,2.0,18.0,0.0,0.0,0.0,0.833333333,0.0,0.0,5.0,1.0,0.6667,-1
7.0,2.0,17.0,22.0,11.0,1.0,17.0,5.0,5.0,0.333333333,33.0,1.0,1.0,0.684210526,0.35714285700000004,1.0,1.0,3.571428571,1.0,0.8571,-1
28.0,2.0,0.0,14.0,58.0,302.0,7.0,9.0,26.0,0.8024691359999999,303.0,1.0,2.0,0.788135593,0.14610389599999998,1.0,4.0,9.607142857000001,3.0,1.0714,1
6.0,3.0,0.0,6.0,19.0,13.0,0.0,6.0,6.0,0.4,107.0,1.0,0.0,0.9,0.41666666700000005,0.0,0.0,16.66666667,4.0,1.6667,-1
14.0,1.0,1.0,7.0,26.0,79.0,2.0,5.0,12.0,0.788461538,118.0,1.0,2.0,0.0,0.256410256,0.0,0.0,7.142857143,3.0,1.1429,1
14.0,1.0,0.0,4.0,21.0,91.0,0.0,4.0,13.0,0.538461538,105.0,1.0,2.0,0.0,0.9642857140000001,0.0,0.0,6.357142857,2.0,1.0,1
4.0,1.0,1.0,1.0,9.0,0.0,1.0,0.0,4.0,0.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,5.5,1.0,0.75,-1
9.0,2.0,0.0,5.0,18.0,28.0,1.0,4.0,5.0,0.666666667,103.0,1.0,0.0,0.384615385,0.317460317,1.0,2.0,10.11111111,2.0,1.0,-1
1.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
8.0,2.0,0.0,7.0,23.0,14.0,1.0,7.0,7.0,0.642857143,101.0,1.0,2.0,0.666666667,0.326530612,0.0,0.0,11.375,1.0,0.375,1
9.0,0.0,0.0,19.0,59.0,16.0,2.0,17.0,6.0,0.541666667,382.0,0.666666667,0.0,0.0,0.347222222,0.0,0.0,41.11111111,6.0,1.7778,-1
15.0,1.0,1.0,13.0,35.0,59.0,3.0,12.0,5.0,0.8214285709999999,189.0,1.0,2.0,0.0,0.222222222,0.0,0.0,11.2,4.0,1.0,-1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,-1
3.0,1.0,0.0,5.0,6.0,1.0,2.0,3.0,3.0,0.0,31.0,1.0,1.0,0.0,0.5,0.0,0.0,9.0,1.0,0.6667,-1
5.0,3.0,0.0,4.0,10.0,10.0,1.0,4.0,2.0,2.0,25.0,0.0,0.0,0.884615385,0.4,2.0,2.0,4.0,1.0,0.6,-1
15.0,1.0,0.0,22.0,47.0,81.0,2.0,20.0,14.0,0.867346939,218.0,1.0,1.0,0.0,0.1875,0.0,0.0,13.06666667,2.0,0.9333,-1
13.0,1.0,0.0,4.0,23.0,0.0,1.0,3.0,13.0,0.0,70.0,1.0,1.0,0.0,0.326923077,0.0,0.0,4.307692308,1.0,0.9231,-1
3.0,5.0,0.0,1.0,9.0,0.0,0.0,1.0,3.0,0.5,33.0,1.0,0.0,0.894736842,0.5555555560000001,0.0,0.0,9.333333332999999,1.0,0.6667,1
8.0,2.0,0.0,7.0,33.0,26.0,0.0,7.0,1.0,0.571428571,417.0,1.0,0.0,0.588235294,0.390625,1.0,1.0,51.0,8.0,3.625,-1
11.0,3.0,0.0,8.0,30.0,37.0,1.0,8.0,10.0,0.525,212.0,1.0,1.0,0.907407407,0.272727273,1.0,14.0,17.90909091,6.0,1.6364,1
7.0,1.0,0.0,11.0,38.0,21.0,4.0,9.0,3.0,2.0,167.0,0.0,0.0,0.0,0.3,0.0,0.0,22.85714286,3.0,1.4286,-1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
15.0,3.0,4.0,10.0,30.0,79.0,4.0,6.0,11.0,0.816326531,146.0,1.0,1.0,0.647058824,0.20535714300000002,1.0,1.0,8.266666667,1.0,0.8,-1
5.0,2.0,0.0,12.0,17.0,6.0,1.0,12.0,3.0,0.583333333,88.0,1.0,0.0,0.5555555560000001,0.4,1.0,2.0,16.0,1.0,0.8,-1
