@relation test
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric
@data
2.0,1.0,0.0,8.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,1.0,0
23.0,1.0,0.0,7.0,52.0,171.0,2.0,5.0,20.0,0.837662338,420.0,1.0,2.0,0.0,0.25,0.0,0.0,16.95652174,4.0,1.4348,1
4.0,1.0,0.0,10.0,4.0,6.0,9.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.0,1.0,1
13.0,4.0,2.0,17.0,57.0,22.0,2.0,15.0,9.0,0.25,346.0,1.0,1.0,0.85,0.192307692,3.0,7.0,25.53846154,6.0,1.6154,1
38.0,2.0,0.0,37.0,153.0,569.0,1.0,37.0,21.0,0.89527027,1515.0,0.875,1.0,0.307692308,0.122332859,1.0,1.0,38.65789474,4.0,1.5,1
15.0,4.0,0.0,8.0,51.0,47.0,1.0,8.0,15.0,0.7857142859999999,255.0,1.0,0.0,0.7777777779999999,0.36666666700000006,2.0,4.0,15.6,1.0,0.9333,1
6.0,1.0,0.0,13.0,6.0,15.0,11.0,3.0,6.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
4.0,1.0,2.0,4.0,25.0,6.0,2.0,2.0,4.0,2.0,126.0,0.0,0.0,0.0,0.625,1.0,1.0,30.5,8.0,2.75,0
8.0,2.0,0.0,7.0,15.0,0.0,4.0,3.0,8.0,0.571428571,83.0,0.0,1.0,0.3,0.34375,1.0,4.0,9.125,1.0,0.875,1
1.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
2.0,5.0,0.0,3.0,5.0,1.0,0.0,3.0,2.0,2.0,12.0,0.0,0.0,0.987654321,1.0,1.0,1.0,5.0,1.0,0.5,0
19.0,1.0,0.0,6.0,25.0,135.0,4.0,2.0,12.0,0.944444444,167.0,0.5625,2.0,0.0,0.256578947,0.0,0.0,6.947368421,4.0,1.0,0
5.0,1.0,0.0,3.0,17.0,0.0,1.0,2.0,4.0,0.41666666700000005,74.0,1.0,0.0,0.0,0.5,0.0,0.0,13.2,4.0,1.2,1
