@relation test
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric
@data
2.0,3.0,0.0,9.0,16.0,1.0,1.0,9.0,2.0,2.0,113.0,0.0,0.0,0.933333333,0.583333333,0.0,0.0,55.5,9.0,4.5,-1
4.0,3.0,0.0,1.0,8.0,4.0,1.0,0.0,4.0,1.0,82.0,0.0,0.0,0.857142857,0.35,2.0,2.0,18.5,1.0,0.75,-1
18.0,1.0,0.0,16.0,55.0,0.0,11.0,8.0,13.0,0.647058824,687.0,1.0,0.0,0.0,0.426470588,0.0,0.0,36.88888889,12.0,2.5,1
6.0,6.0,0.0,4.0,36.0,1.0,1.0,4.0,1.0,0.8875,464.0,0.6875,0.0,0.992581602,0.5,3.0,5.0,73.66666667,7.0,2.1667,-1
4.0,1.0,0.0,26.0,29.0,6.0,25.0,1.0,3.0,2.0,213.0,0.0,0.0,0.0,0.291666667,0.0,0.0,52.25,15.0,4.75,-1
5.0,2.0,2.0,22.0,6.0,10.0,17.0,5.0,5.0,2.0,26.0,0.0,0.0,0.636363636,0.9,0.0,0.0,4.2,1.0,0.8,-1
5.0,1.0,1.0,14.0,13.0,10.0,4.0,10.0,5.0,1.0,34.0,1.0,1.0,0.0,0.292307692,0.0,0.0,5.6,1.0,0.8,-1
51.0,4.0,0.0,22.0,125.0,1041.0,10.0,17.0,41.0,0.948333333,1243.0,0.833333333,6.0,0.92816092,0.10049019599999999,3.0,20.0,22.66666667,30.0,2.1569,-1
2.0,2.0,0.0,11.0,11.0,1.0,5.0,6.0,1.0,2.0,53.0,0.0,0.0,0.944444444,0.625,0.0,0.0,25.5,1.0,0.5,-1
89.0,2.0,0.0,141.0,269.0,3550.0,119.0,43.0,66.0,0.9612299470000001,2699.0,0.588235294,2.0,0.570731707,0.103620474,1.0,10.0,28.94382022,35.0,3.2135,-1
