@relation test
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric
@data
6.0,1.0,0.0,2.0,16.0,3.0,0.0,2.0,5.0,0.8666666670000001,90.0,0.333333333,0.0,0.0,0.46666666700000003,0.0,0.0,13.5,2.0,1.3333,1
9.0,1.0,1.0,7.0,17.0,34.0,1.0,6.0,4.0,0.6875,93.0,1.0,2.0,0.0,0.351851852,0.0,0.0,9.111111111,1.0,0.8889,1
5.0,2.0,0.0,10.0,12.0,10.0,4.0,8.0,5.0,2.0,62.0,0.0,0.0,0.9032258059999999,0.4,1.0,2.0,11.4,1.0,0.6,-1
7.0,3.0,0.0,11.0,31.0,9.0,0.0,11.0,5.0,0.5,285.0,1.0,0.0,0.571428571,0.428571429,0.0,0.0,39.42857143,1.0,0.8571,1
7.0,1.0,0.0,8.0,20.0,11.0,0.0,8.0,6.0,0.5,91.0,0.333333333,0.0,0.0,0.5,0.0,0.0,11.57142857,2.0,1.1429,1
5.0,2.0,0.0,8.0,12.0,0.0,4.0,6.0,5.0,0.25,54.0,1.0,0.0,0.9032258059999999,0.433333333,0.0,0.0,9.6,1.0,0.6,1
17.0,1.0,2.0,26.0,20.0,96.0,23.0,4.0,17.0,0.9027777779999999,120.0,1.0,2.0,0.0,0.235294118,0.0,0.0,5.529411765,3.0,1.0588,1
12.0,3.0,0.0,8.0,30.0,64.0,1.0,7.0,11.0,1.0,93.0,1.0,0.0,0.920454545,0.606060606,1.0,2.0,6.583333333,1.0,0.5833,-1
5.0,1.0,0.0,3.0,19.0,2.0,0.0,3.0,3.0,0.666666667,157.0,1.0,1.0,0.0,0.333333333,0.0,0.0,29.8,3.0,1.0,1
3.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.7142857140000001,0.666666667,1.0,2.0,3.0,1.0,0.6667,1
6.0,2.0,0.0,8.0,20.0,15.0,0.0,8.0,5.0,1.0,88.0,0.0,0.0,0.6875,0.41666666700000005,1.0,1.0,13.5,2.0,1.0,-1
0.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,1.0,0.0,1.0,10.0,1.0,1.0,0.0,2.0,0.5,84.0,0.0,0.0,0.0,0.5,0.0,0.0,26.66666667,10.0,3.3333,-1
13.0,1.0,0.0,14.0,51.0,16.0,1.0,13.0,6.0,0.6759259259999999,615.0,1.0,3.0,0.0,0.36923076899999996,0.0,0.0,45.61538462,12.0,3.0769,1
4.0,2.0,0.0,11.0,22.0,6.0,4.0,9.0,4.0,2.0,155.0,0.0,0.0,0.933333333,0.41666666700000005,1.0,1.0,37.75,1.0,0.5,1
