@relation test
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric
@data
8.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,0.428571429,98.0,1.0,0.0,0.833333333,0.45,0.0,0.0,10.75,1.0,0.5,1
21.0,1.0,0.0,6.0,35.0,68.0,1.0,5.0,12.0,0.6772727270000001,1458.0,0.727272727,4.0,0.0,0.271428571,0.0,0.0,67.90476190000001,24.0,4.7619,0
1.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
56.0,2.0,2.0,20.0,207.0,778.0,4.0,17.0,37.0,0.856643357,4705.0,0.961538462,6.0,0.704918033,0.18347107399999998,2.0,14.0,82.55357143,14.0,1.7679,1
5.0,2.0,0.0,3.0,8.0,10.0,1.0,3.0,5.0,1.25,25.0,0.0,0.0,0.9361702129999999,0.46666666700000003,1.0,4.0,3.8,1.0,0.6,0
4.0,1.0,0.0,13.0,4.0,6.0,9.0,4.0,4.0,1.333333333,19.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,1.0,1
9.0,2.0,0.0,7.0,23.0,0.0,3.0,4.0,2.0,0.375,130.0,1.0,0.0,0.533333333,0.41666666700000005,1.0,2.0,13.22222222,2.0,0.8889,0
10.0,1.0,0.0,6.0,19.0,0.0,5.0,1.0,1.0,0.066666667,471.0,0.0,0.0,0.0,0.566666667,0.0,0.0,45.6,7.0,2.8,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
27.0,1.0,0.0,1.0,27.0,351.0,0.0,1.0,27.0,1.038461538,213.0,0.0,0.0,0.0,0.27777777800000003,0.0,0.0,0.0,1.0,1.0,0
7.0,1.0,0.0,7.0,8.0,21.0,1.0,6.0,7.0,2.0,16.0,0.0,0.0,0.0,0.265306122,0.0,0.0,1.285714286,1.0,0.8571,1
8.0,1.0,0.0,6.0,17.0,4.0,3.0,3.0,8.0,0.653061224,184.0,1.0,2.0,0.0,0.303571429,0.0,0.0,21.125,2.0,1.5,0
14.0,1.0,0.0,12.0,51.0,0.0,5.0,8.0,8.0,0.557692308,756.0,0.875,3.0,0.0,0.24107142899999998,0.0,0.0,52.42857143,16.0,3.3571,1
11.0,2.0,2.0,6.0,26.0,25.0,3.0,4.0,10.0,1.05,223.0,0.5,1.0,0.814814815,0.477272727,1.0,1.0,19.09090909,3.0,1.3636,1
4.0,3.0,0.0,6.0,9.0,0.0,1.0,5.0,0.0,0.380952381,583.0,1.0,0.0,0.926829268,0.40625,1.0,3.0,143.0,1.0,0.75,0
41.0,1.0,0.0,53.0,61.0,202.0,50.0,4.0,34.0,0.871875,2955.0,0.9375,2.0,0.0,0.3375,0.0,0.0,70.29268293,9.0,3.6098,0
4.0,1.0,0.0,12.0,8.0,6.0,5.0,7.0,4.0,1.333333333,39.0,1.0,0.0,0.0,0.59375,0.0,0.0,8.25,1.0,0.75,0
11.0,1.0,1.0,1.0,18.0,15.0,1.0,0.0,11.0,0.5,102.0,1.0,0.0,0.0,0.43181818200000005,0.0,0.0,8.090909091,1.0,0.9091,0
11.0,1.0,0.0,8.0,32.0,29.0,1.0,7.0,7.0,0.6384615379999999,595.0,0.153846154,2.0,0.0,0.25,0.0,0.0,51.90909091,14.0,2.0909,0
48.0,2.0,1.0,5.0,98.0,668.0,1.0,4.0,37.0,0.9042553190000001,1044.0,1.0,5.0,0.737142857,0.145662848,2.0,10.0,20.58333333,3.0,1.0417,1
4.0,3.0,0.0,6.0,28.0,0.0,1.0,6.0,1.0,0.666666667,179.0,0.5,0.0,0.947368421,0.5,2.0,13.0,43.25,8.0,2.5,1
47.0,1.0,11.0,29.0,87.0,781.0,20.0,14.0,34.0,0.910079051,1643.0,0.818181818,6.0,0.0,0.127090301,0.0,0.0,33.489361699999996,31.0,2.766,1
